,offset_start,offset_end,complex_phrase,goldstandard_label,sentence_tokens,sentence_token_labels
0,"[3, 112, 123, 17, 54, 103, 130, 29, 73, 42, 83]","[6, 119, 126, 28, 68, 108, 147, 37, 82, 53, 92]","['Bus', 'Stunden', 'Tag', 'Tram-Linien', 'Verkehrsachsen', 'Woche', 'Zehn-Minuten-Takt', 'befahren', 'verkehren', 'wichtigsten', 'zukünftig']","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","['15', 'Bus-', 'und', 'neun', 'Tram-Linien', 'befahren', 'die', 'wichtigsten', 'Verkehrsachsen', 'und', 'verkehren', 'zukünftig', 'die', 'ganze', 'Woche', '20', 'Stunden', 'am', 'Tag', 'im', 'Zehn-Minuten-Takt', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1,"[20, 54, 70, 38, 11, 88, 49]","[30, 63, 87, 45, 19, 96, 53]","['Hauptstadt', 'Metro-Bus', 'Metro-Tram-Linien', 'Sonntag', 'deutsche', 'erhalten', 'neue']","[0, 1, 1, 0, 0, 1, 0]","['2004', '–', 'Die', 'deutsche', 'Hauptstadt', 'hat', 'am', 'Sonntag', '24', 'neue', 'Metro-Bus', '-', 'und', 'Metro-Tram-Linien', 'erhalten', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
2,"[80, 68, 98, 56, 120, 92, 92, 34, 130, 143, 110, 21]","[91, 79, 103, 63, 129, 97, 103, 45, 135, 151, 115, 33]","['Architekten', 'Architekten', 'Botta', 'Leitung', 'Mailänder', 'Mario', 'Mario Botta', 'Renovierung', 'Scala', 'eröffnet', 'heute', 'zweijähriger']","[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0]","['2004', '–', 'Nach', 'mehr', 'als', 'zweijähriger', 'Renovierung', 'unter', 'der', 'Leitung', 'des', 'Architekten', 'Architekten', 'Mario', 'Botta', 'wurde', 'heute', 'die', 'Mailänder', 'Scala', 'wieder', 'eröffnet', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
3,"[17, 83, 50, 95, 130, 73, 220, 35, 228, 209, 209, 104, 146]","[27, 90, 60, 103, 138, 78, 227, 49, 236, 219, 227, 114, 154]","['Discobrand', 'Freitag', 'Hauptstadt', 'Menschen', 'Menschen', 'Nacht', 'Zustand', 'argentinischen', 'befinden', 'kritischen', 'kritischen Zustand', 'umgekommen', 'verletzt']","[1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]","['2005', '-', 'Bei', 'einem', 'Discobrand', 'in', 'der', 'argentinischen', 'Hauptstadt', 'sind', 'in', 'der', 'Nacht', 'zum', 'Freitag', '187', 'Menschen', 'umgekommen', ',', 'mehr', 'als', '700', 'Menschen', 'wurden', 'verletzt', ',', 'wobei', 'mehr', 'als', 'hundert', 'von', 'ihnen', 'sich', 'noch', 'in', 'einem', 'kritischen', 'Zustand', 'befinden', '.']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
4,"[0, 66, 60, 19, 33, 75]","[6, 74, 65, 23, 52, 81]","['Albert', 'Conradty', 'Firma', 'Jahr', 'Unternehmensberater', 'geholt']","[0, 1, 0, 0, 1, 0]","['Albert', 'G.', 'wurde', 'im', 'Jahr', '1991', 'als', 'Unternehmensberater', 'in', 'die', 'Firma', 'Conradty', 'geholt', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
5,"[121, 49, 135, 23, 63, 5, 99, 68, 152]","[130, 54, 151, 32, 67, 15, 112, 75, 158]","['Abwendung', 'Druck', 'Klimakatastrophe', 'Konferenz', 'Land', 'Teilnehmer', 'Verantwortung', 'ausüben', 'stelle']","[1, 0, 1, 1, 0, 0, 1, 1, 0]","['Alle', 'Teilnehmer', 'an', 'der', 'Konferenz', 'sollten', 'deshalb', 'Druck', 'auf', 'das', 'Land', 'ausüben', ',', 'damit', 'es', 'sich', 'seiner', 'Verantwortung', 'bei', 'der', 'Abwendung', 'der', 'Klimakatastrophe', 'stelle', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]"
6,"[45, 26, 13, 53, 35, 63]","[52, 34, 21, 62, 40, 69]","['Gericht', 'Gesetzes', 'Klauseln', 'gebilligt', 'seien', 'worden']","[0, 0, 1, 1, 0, 0]","['Alle', 'anderen', 'Klauseln', 'des', 'Gesetzes', 'seien', 'vom', 'Gericht', 'gebilligt', 'worden', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
7,"[115, 43, 69, 189, 145, 100, 173, 158, 81, 10, 202, 20, 20, 131, 214]","[121, 50, 74, 201, 149, 114, 180, 172, 99, 19, 213, 39, 50, 139, 220]","['Albert', 'Auftrag', 'Chefs', 'Firmenbilanz', 'Geld', 'Gesellschafter', 'Konkurs', 'bevorstehenden', 'geschäftsführenden', 'handelten', 'herauslösen', 'nachgewiesenermaßen', 'nachgewiesenermaßen im Auftrag', 'wiederum', 'wollte']","[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0]","['Alle', 'drei', 'handelten', 'nachgewiesenermaßen', 'im', 'Auftrag', 'ihres', '72-jährigen', 'Chefs', ',', 'dem', 'geschäftsführenden', 'Gesellschafter', 'Albert', 'G.', ',', 'der', 'wiederum', 'sein', 'Geld', 'vor', 'dem', 'bevorstehenden', 'Konkurs', 'aus', 'der', 'Firmenbilanz', 'herauslösen', 'wollte', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
8,"[34, 9, 44, 29]","[43, 21, 54, 33]","['Fahrpläne', 'Haltestellen', 'ausgehängt', 'neue']","[0, 0, 1, 0]","['An', '7.000', 'Haltestellen', 'wurden', 'neue', 'Fahrpläne', 'ausgehängt', '.']","[0, 0, 0, 0, 0, 0, 1, 0]"
9,"[0, 9, 36, 44]","[4, 22, 43, 54]","['Auch', 'Landespolitik', 'Planung', 'einbezogen']","[0, 1, 0, 1]","['Auch', 'die', 'Landespolitik', 'wurde', 'in', 'die', 'Planung', 'einbezogen', '.']","[0, 0, 1, 0, 0, 0, 0, 1, 0]"
